0,David Miller,KXIP,bat,66,64,20,1563,101,35.52,1105,141.45,1,0,8,104,78
10,Anureet Singh,KXIP,bat,20,7,3,33,15,8.25,43,76.74,0,0,0,2,1
10,Farhaan Behardien,KXIP,bat,3,3,1,14,9,7,13,107.69,0,0,0,2,0
1,Rishi Dhawan,KXIP,bat,26,17,10,153,25,21.86,135,113.33,0,0,0,13,4
1,Mitchell Johnson,KXIP,bat,48,28,15,151,16,11.62,153,98.69,0,0,0,8,7
8,Glenn Maxwell,KXIP,bat,57,56,7,1228,95,25.06,747,164.39,0,0,6,95,82
7,Axar Patel,KXIP,bat,59,43,13,606,44,20.2,473,128.12,0,0,0,34,28
1,Mohit Sharma,KXIP,bat,75,22,8,112,21,8,102,109.8,0,0,0,7,4
10,Pardeep Sahu,KXIP,bat,5,2,1,19,18,19,13,146.15,0,0,0,1,1
10,Swapnil Singh,KXIP,bat,5,3,0,12,10,4,20,60,0,0,0,0,0
3,Murali Vijay,KXIP,bat,100,100,5,2511,127,26.43,2035,123.39,2,0,13,237,89
10,Kyle Abbott,KXIP,bat,5,3,2,13,12,13,8,162.5,0,0,0,0,1
10,KC Cariappa,KXIP,bat,10,4,1,15,12,5,18,83.33,0,0,0,0,1
11,Gurkeerat Singh Mann,KXIP,bat,30,24,3,342,51,16.29,272,125.74,0,0,1,36,9
3,Shaun Marsh,KXIP,bat,71,69,7,2477,115,39.95,1866,132.74,1,0,20,266,78
10,Nikhil Naik,KXIP,bat,2,2,0,23,22,11.5,31,74.19,0,0,0,1,0
0,Wriddhiman Saha,KXIP,bat,104,80,19,1557,115,25.52,1191,130.73,1,0,6,130,57
10,Sandeep Sharma,KXIP,bat,56,13,12,26,7,26,35,74.29,0,0,0,1,0
1,Marcus Stoinis,KXIP,bat,12,8,1,163,52,23.29,132,123.48,0,0,1,14,4
10,Shardul Thakur,KXIP,bat,13,4,1,7,7,2.33,9,77.78,0,0,0,1,0
4,Manan Vohra,KXIP,bat,45,41,2,957,95,24.54,721,132.73,0,0,3,95,35
2,Shikhar Dhawan,SRH,bat,127,126,17,3561,95,32.67,2922,121.87,0,0,28,401,71
10,Trent Boult,SRH,bat,14,1,1,5,5,0,8,62.5,0,0,0,0,0
8,Moises Henriques,SRH,bat,57,50,16,969,74,28.5,756,128.17,0,0,5,87,27
10,Abhimanyu Mithun,SRH,bat,16,8,3,34,11,6.8,26,130.77,0,0,0,4,1
10,Siddarth Kaul,SRH,bat,21,4,4,9,7,0,13,69.23,0,0,0,0,0
10,Mustafizur Rahman,SRH,bat,17,0,0,0,0,0,0,0,0,0,0,0,0
0,Naman Ojha,SRH,bat,112,93,19,1553,94,20.99,1309,118.64,0,0,6,121,79
11,Karn Sharma,SRH,bat,56,34,13,317,39,15.1,274,115.69,0,0,0,18,14
4,Tirumalsetti Suman,SRH,bat,43,40,8,676,78,21.12,575,117.57,0,0,2,55,26
2,David Warner,SRH,bat,114,114,15,4014,126,40.55,2824,142.14,3,0,36,402,159
3,Yuvraj Singh,SRH,bat,120,116,15,2587,83,25.61,1972,131.19,0,0,12,204,141
10,Ashish Nehra,SRH,bat,88,22,15,41,22,5.86,62,66.13,0,0,0,3,1
11,Ashish Reddy,SRH,bat,31,23,8,280,36,18.67,193,145.08,0,0,0,17,14
1,Bipul Sharma,SRH,bat,33,17,9,187,35,23.38,123,152.03,0,0,0,11,9
1,Ben Cutting,SRH,bat,9,8,3,124,39,24.8,66,187.88,0,0,0,9,10
1,Bhuvneshwar Kumar,SRH,bat,90,34,15,158,24,8.32,157,100.64,0,0,0,15,3
4,Eoin Morgan,SRH,bat,52,45,5,854,66,21.35,705,121.13,0,0,4,72,34
1,Vijay Shankar,SRH,bat,5,4,2,101,63,50.5,75,134.67,0,0,1,12,1
10,Barinder Sran,SRH,bat,16,4,4,4,2,0,4,100,0,0,0,0,0
11,Aditya Tare,SRH,bat,35,28,4,339,59,14.12,273,124.18,0,0,1,40,11
7,Kane Williamson,SRH,bat,15,15,2,411,89,31.62,318,129.25,0,0,3,35,11
5,Suresh Raina,GL,bat,161,157,24,4540,100,34.14,3265,139.05,1,0,31,402,173
10,Akshdeep Nath,GL,bat,5,4,0,20,12,5,28,71.43,0,0,0,1,0
8,Dwayne Bravo,GL,bat,106,83,28,1262,70,22.95,999,126.33,0,0,4,103,48
10,Eklavya Dwivedi,GL,bat,4,2,0,24,19,12,14,171.43,0,0,0,2,2
0,Aaron Finch,GL,bat,65,64,5,1603,88,27.17,1229,130.43,0,0,13,170,59
0,Ravindra Jadeja,GL,bat,138,109,37,1732,48,24.06,1409,122.92,0,0,0,125,57
6,Dinesh Karthik,GL,bat,152,134,17,2903,86,24.81,2305,125.94,0,0,14,286,71
1,Dhawal Kulkarni,GL,bat,72,18,10,90,28,11.25,96,93.75,0,0,0,6,2
6,Brendon McCullum,GL,bat,103,103,5,2753,158,28.09,2098,131.22,2,0,13,277,124
3,Dwayne Smith,GL,bat,91,89,5,2385,87,28.39,1764,135.2,0,0,17,245,117
10,Pravin Tambe,GL,bat,33,6,4,18,7,9,39,46.15,0,0,0,1,0
10,Sarabjit Ladda,GL,bat,9,2,1,0,0,0,9,0,0,0,0,0,0
1,Paras Dogra,GL,bat,13,12,1,127,41,11.55,138,92.03,0,0,0,4,5
7,James Faulkner,GL,bat,60,45,20,527,46,21.08,388,135.82,0,0,0,36,23
11,Ishan Kishan,GL,bat,16,15,0,319,61,21.27,247,129.15,0,0,1,34,13
10,Shadab Bashir Jakati,GL,bat,59,8,7,28,13,28,29,96.55,0,0,0,3,0
10,Shivil Koushik,GL,bat,10,2,1,0,0,0,1,0,0,0,0,0,0
11,Praveen Kumar,GL,bat,119,59,21,340,34,8.95,314,108.28,0,0,0,22,17
10,Pradeep Sangwan,GL,bat,38,13,7,24,6,4,35,68.57,0,0,0,1,0
1,Dale Steyn,GL,bat,90,35,13,166,19,7.55,158,105.06,0,0,0,14,3
10,Andrew Tye,GL,bat,6,3,1,53,25,26.5,30,176.67,0,0,0,4,3
9,MS Dhoni,RPS,bat,159,143,49,3561,70,37.88,2604,136.75,0,0,17,251,156
11,Ravichandran Ashwin,RPS,bat,111,37,15,231,29,10.5,240,96.25,0,0,0,22,2
11,Rajat Bhatia,RPS,bat,95,49,19,342,26,11.4,284,120.42,0,0,0,24,13
10,Deepak Chahar,RPS,bat,5,1,0,14,14,14,6,233.33,0,0,0,0,2
8,Faf du Plessis,RPS,bat,53,46,3,1295,73,30.12,1012,127.96,0,0,8,110,38
10,Jaskaran Singh,RPS,bat,8,5,4,8,4,8,11,72.73,0,0,0,0,0
8,Irfan Pathan,RPS,bat,103,82,29,1139,60,21.49,946,120.4,0,0,1,87,37
8,Kevin Pietersen,RPS,bat,36,36,8,1001,103,35.75,743,134.72,1,0,4,91,40
10,Ishant Sharma,RPS,bat,76,22,16,45,9,7.5,58,77.59,0,0,0,3,1
0,Steven Smith,RPS,bat,69,62,16,1703,101,37.02,1293,131.71,1,0,5,150,45
10,Adam Zampa,RPS,bat,11,2,0,5,5,2.5,8,62.5,0,0,0,1,0
1,Ankit Sharma,RPS,bat,21,10,3,87,30,12.43,67,129.85,0,0,0,7,4
10,Murugan Ashwin,RPS,bat,10,1,0,0,0,0,1,0,0,0,0,0,0
10,Scott Boland,RPS,bat,2,0,0,0,0,0,0,0,0,0,0,0,0
10,Ashok Dinda,RPS,bat,78,17,7,26,7,2.6,48,54.17,0,0,0,2,0
10,Peter Handscomb,RPS,bat,2,1,0,6,6,6,12,50,0,0,0,0,0
11,Mitchell Marsh,RPS,bat,20,14,2,225,38,18.75,196,114.8,0,0,0,9,14
10,Ishwar Pandey,RPS,bat,25,1,0,0,0,0,2,0,0,0,0,0,0
7,Thisara Perera,RPS,bat,37,30,8,422,40,19.18,307,137.46,0,0,0,23,26
6,Ajinkya Rahane,RPS,bat,111,105,14,3057,103,33.59,2535,120.59,1,0,25,320,60
10,RP Singh,RPS,bat,82,30,15,52,10,3.47,76,68.42,0,0,0,2,1
